age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level
14,male,7.9,Instagram,7.4,2.9,3.01,1.5,low,2
19,female,1.9,TikTok,8.0,2.9,3.22,0.8,high,8
17,female,1.3,Instagram,7.6,0.5,3.92,0.0,high,2
15,male,7.4,TikTok,6.9,1.6,3.48,0.8,medium,1
15,female,4.7,Both,4.9,3.0,2.37,1.4,medium,3
19,female,7.4,Both,4.4,2.4,2.63,0.6,high,3
18,female,2.5,Instagram,6.4,2.4,2.63,0.7,low,2
16,male,4.0,Both,4.2,0.5,2.4,1.3,low,6
19,female,3.3,TikTok,5.0,2.1,2.04,0.9,high,1
15,male,1.9,TikTok,4.9,1.5,3.77,1.1,high,1
16,male,7.2,Both,5.8,2.9,3.16,1.2,medium,5
13,male,4.9,Instagram,4.7,2.5,3.92,1.2,low,1
16,male,6.2,Both,7.2,2.6,2.02,1.7,medium,5
17,female,6.8,TikTok,5.7,1.1,3.29,1.3,medium,1
15,male,5.7,TikTok,5.9,0.8,3.5,0.7,low,1
14,female,3.6,Both,5.3,0.6,2.99,0.3,high,4
13,male,1.5,Both,4.2,1.4,2.59,0.5,high,4
16,male,3.1,Both,6.1,0.8,2.11,1.9,high,10
16,female,6.7,Both,6.8,1.9,3.08,1.4,high,10
14,female,1.2,Instagram,7.6,1.0,3.85,0.8,high,8
16,male,3.4,TikTok,4.6,2.1,2.24,0.4,high,4
18,male,4.1,Both,7.4,2.4,2.38,1.5,medium,8
18,male,5.3,Instagram,4.9,1.2,3.69,1.2,low,5
18,female,2.3,TikTok,7.6,0.5,2.96,1.7,medium,9
18,female,2.4,Both,6.7,1.9,2.53,0.4,high,8
13,female,1.5,Both,7.2,2.5,2.15,1.3,medium,4
14,female,5.7,Both,8.7,0.6,2.64,0.1,low,8
19,male,2.0,TikTok,7.1,0.9,3.26,1.6,high,7
14,male,2.5,TikTok,5.6,2.9,2.24,0.5,low,3
16,female,3.4,TikTok,7.8,2.8,3.83,1.8,medium,6
13,male,6.6,TikTok,5.7,2.5,2.67,1.1,low,2
13,female,1.6,Instagram,8.7,2.5,3.69,0.4,high,8
16,male,2.7,Instagram,4.2,2.4,3.05,0.2,high,1
14,male,4.1,TikTok,8.0,3.0,2.31,0.8,low,8
13,female,6.6,TikTok,7.3,1.6,3.27,0.1,medium,10
17,female,5.0,Both,4.9,2.1,2.01,1.0,low,9
19,female,4.6,Instagram,5.5,2.5,3.96,0.8,high,3
17,female,4.8,Instagram,4.4,1.3,2.02,0.5,low,5
17,female,1.3,TikTok,8.0,2.0,2.84,1.8,high,1
17,female,6.3,Instagram,4.0,1.0,2.43,1.2,high,1
14,male,6.4,Instagram,5.7,0.9,2.06,1.8,high,10
19,male,1.6,Instagram,8.6,2.4,3.81,0.4,low,10
14,female,7.3,Instagram,7.7,1.4,3.42,0.3,medium,6
15,male,4.0,Both,8.8,1.3,3.59,1.9,medium,10
14,male,5.2,Both,4.1,2.1,3.07,0.2,medium,9
14,female,4.5,TikTok,4.8,0.9,2.22,0.8,low,1
18,male,6.8,TikTok,8.6,1.1,2.36,1.6,high,1
13,female,3.5,Instagram,5.1,1.1,2.27,1.8,medium,2
16,male,2.3,TikTok,6.3,3.0,3.24,1.9,medium,4
14,male,1.2,Instagram,8.5,1.8,3.65,1.8,high,5
13,male,6.2,Both,7.1,2.2,3.43,0.2,medium,5
18,male,4.5,TikTok,4.1,1.9,3.42,0.1,medium,6
18,male,2.9,Instagram,4.5,2.5,3.16,1.3,low,3
13,female,5.8,TikTok,8.5,2.3,3.3,1.9,high,1
18,male,6.8,Instagram,6.5,2.7,2.97,1.9,low,4
15,female,7.4,Instagram,8.6,0.9,2.3,0.0,low,1
18,male,4.5,TikTok,5.0,2.5,2.65,0.7,medium,8
16,male,6.4,TikTok,5.3,2.4,2.03,1.7,medium,7
13,male,7.3,Both,4.2,1.3,2.16,1.0,high,4
17,female,7.1,Instagram,5.6,0.6,3.07,1.0,medium,1
18,male,1.6,TikTok,5.1,2.7,3.57,0.8,high,3
15,female,1.5,Instagram,4.7,1.0,3.82,0.6,medium,6
13,male,4.3,Both,5.8,0.7,3.15,0.1,medium,7
17,male,2.5,Both,6.7,2.0,2.56,1.7,high,5
19,female,7.9,TikTok,5.1,1.7,2.8,0.8,low,6
17,male,2.7,Instagram,8.0,2.6,3.53,1.9,high,1
13,male,3.1,TikTok,8.2,1.5,2.45,0.3,low,5
17,male,5.8,Both,7.6,0.7,2.83,1.0,medium,7
14,female,3.9,Both,7.0,2.8,2.8,0.1,low,8
15,male,7.5,Both,7.0,0.9,3.48,1.1,high,2
14,male,5.2,Both,6.7,2.0,3.48,1.0,medium,2
16,female,3.1,TikTok,5.0,1.1,2.73,1.6,low,2
16,female,2.0,Instagram,8.7,1.2,3.0,0.0,low,8
14,male,2.7,Instagram,8.4,1.3,2.01,0.6,low,6
14,male,1.5,Both,4.3,2.1,3.9,1.5,low,10
17,female,6.9,Instagram,8.2,0.8,2.36,0.0,medium,10
13,male,1.1,TikTok,7.1,1.8,2.55,0.8,high,5
13,male,3.4,TikTok,4.4,0.6,3.41,0.2,low,8
15,male,6.7,Both,4.5,2.1,3.71,1.3,high,3
18,male,1.1,Both,7.2,1.0,3.13,0.6,medium,2
18,female,7.4,Instagram,7.5,2.3,2.39,0.9,high,4
19,female,4.8,TikTok,6.0,1.5,2.61,1.2,high,2
14,male,1.2,Both,5.2,2.2,2.19,1.9,medium,9
13,male,7.4,Instagram,5.6,1.4,2.95,1.7,high,8
16,female,2.6,Both,8.6,1.3,3.64,1.6,high,5
17,female,5.0,Both,9.0,2.5,3.4,0.9,high,8
18,male,7.5,Instagram,7.4,1.8,3.47,0.0,low,9
17,female,5.4,Both,5.7,2.5,3.13,1.9,medium,5
17,female,5.6,Instagram,5.3,1.7,2.77,0.9,medium,8
18,male,6.2,Instagram,4.1,2.8,3.41,1.1,medium,7
17,female,4.7,Instagram,4.7,2.4,3.94,0.0,medium,10
18,female,4.0,Instagram,4.6,2.2,3.7,0.6,medium,4
18,male,6.2,TikTok,8.6,1.5,3.22,1.6,low,4
17,female,5.6,TikTok,6.8,2.0,2.22,1.0,medium,6
13,female,4.0,Instagram,4.4,2.5,3.6,1.4,medium,7
15,female,1.8,Instagram,6.4,2.4,2.16,1.9,medium,3
13,male,3.1,TikTok,5.4,1.9,3.66,0.4,low,7
13,female,3.5,TikTok,5.2,2.5,2.57,1.1,high,1
18,male,7.4,TikTok,6.4,2.2,3.51,1.0,high,4
16,male,8.0,Instagram,5.5,1.4,2.95,0.3,medium,2
13,male,5.1,Both,4.1,1.6,3.32,0.8,medium,1
18,female,2.4,Instagram,6.3,1.3,3.05,1.7,low,2
13,male,1.6,Instagram,4.2,1.5,3.72,1.7,medium,10
18,male,5.8,Instagram,6.7,1.9,3.0,1.9,low,5
15,male,2.7,TikTok,6.6,1.9,2.75,1.9,medium,3
13,female,4.0,Both,4.5,1.0,3.65,1.8,low,5
18,male,3.2,Both,8.8,1.2,3.71,1.1,medium,7
13,male,1.6,TikTok,4.3,0.6,3.91,2.0,medium,5
14,male,2.3,TikTok,8.0,2.5,3.08,1.7,medium,5
17,male,7.7,TikTok,8.5,1.2,3.56,0.0,medium,7
16,male,4.8,Both,7.1,0.6,3.36,0.7,high,7
17,female,5.2,Both,6.0,0.6,3.07,0.6,medium,6
13,male,5.7,Both,6.6,2.4,3.99,1.7,high,1
15,male,4.6,TikTok,5.2,1.4,2.98,1.9,low,1
13,male,4.3,TikTok,7.5,2.7,2.29,0.8,high,1
17,female,4.1,Instagram,8.6,3.0,2.77,0.1,medium,3
15,male,6.5,Both,8.1,2.0,3.89,1.3,high,8
19,female,7.8,Both,8.8,2.1,3.75,1.3,high,10
17,male,6.5,Instagram,4.1,2.7,3.66,1.1,medium,6
17,female,3.2,TikTok,4.2,0.6,2.21,1.4,medium,6
13,male,2.4,TikTok,4.1,0.8,2.79,1.1,medium,8
15,female,4.0,Instagram,8.1,2.1,2.01,0.4,medium,4
17,female,6.0,Both,8.8,1.3,4.0,0.9,medium,8
18,male,1.2,TikTok,8.0,1.7,3.12,0.1,low,6
16,male,5.7,Both,5.8,2.8,2.17,0.5,medium,3
19,male,6.5,Both,8.1,2.3,2.21,0.4,high,8
16,male,6.6,Instagram,5.6,0.8,3.48,1.7,medium,4
13,male,6.0,TikTok,7.2,1.5,2.36,0.2,low,1
18,female,1.1,Both,8.0,2.7,2.04,0.1,low,7
13,female,3.8,Instagram,7.9,1.3,3.97,0.2,medium,7
13,female,4.7,Both,6.8,1.7,3.27,1.4,low,4
15,male,7.4,TikTok,6.3,1.3,3.47,1.2,medium,1
17,male,3.9,Instagram,7.1,2.4,3.82,0.8,high,3
18,male,3.1,Instagram,5.7,2.9,3.1,0.6,medium,9
16,female,2.6,TikTok,8.8,1.7,2.39,1.0,medium,5
13,male,5.0,TikTok,6.9,0.6,3.03,0.8,low,9
18,male,4.5,Instagram,8.1,1.6,3.72,1.2,low,1
17,male,2.1,TikTok,4.7,2.0,2.99,1.9,low,5
14,female,6.4,Instagram,6.0,1.1,3.81,0.9,medium,8
15,female,2.3,TikTok,6.5,2.6,3.18,0.1,low,1
13,female,4.4,TikTok,8.8,1.3,2.69,0.4,low,3
19,male,2.3,Instagram,6.9,2.3,2.17,1.6,medium,3
13,male,4.3,Instagram,4.4,0.7,3.19,0.3,low,6
18,female,3.9,TikTok,5.2,1.8,2.41,0.6,high,9
18,male,2.9,TikTok,7.5,0.9,2.62,2.0,high,3
14,male,2.1,Instagram,8.5,1.1,3.03,1.6,medium,5
14,male,2.1,TikTok,5.0,1.4,2.96,1.1,low,7
16,male,3.8,TikTok,5.7,1.3,3.84,1.6,medium,3
15,female,1.1,TikTok,8.2,0.7,2.94,0.7,high,10
14,male,2.5,Both,5.3,2.4,3.87,1.3,high,10
19,female,4.1,Instagram,6.4,0.9,2.47,1.2,high,7
16,male,3.0,Instagram,8.6,1.5,2.84,0.3,high,6
13,female,3.9,Instagram,5.0,0.7,2.98,0.3,medium,10
13,male,7.0,TikTok,8.9,0.6,2.7,1.8,medium,5
16,male,3.6,Both,8.9,1.9,2.11,1.7,low,9
15,male,7.6,Instagram,7.6,2.7,2.36,1.2,medium,5
19,male,1.3,Instagram,4.5,0.7,2.51,0.8,low,10
17,female,2.1,Both,7.8,2.1,3.29,1.5,low,8
15,female,2.7,Both,8.8,1.9,2.14,0.4,high,8
13,male,7.5,Both,8.0,2.0,3.25,0.7,medium,9
16,female,6.1,Both,8.8,1.7,3.55,1.3,medium,6
19,male,2.4,Both,7.4,1.2,2.5,1.8,high,2
19,male,2.0,TikTok,5.3,1.7,2.91,0.8,low,9
15,female,7.8,TikTok,5.3,0.5,2.32,0.8,low,8
16,female,6.8,TikTok,7.2,2.5,3.61,0.5,medium,10
17,male,8.0,Instagram,4.6,2.6,3.06,0.1,high,9
13,female,7.3,Both,8.9,2.7,3.68,1.9,low,6
15,female,1.5,Both,8.7,1.2,2.52,0.1,low,9
15,female,3.4,Instagram,5.0,1.8,3.2,1.5,medium,4
15,male,7.3,Both,4.8,2.6,3.81,1.5,low,4
13,female,1.9,TikTok,8.5,0.8,3.33,1.3,medium,5
17,female,3.9,Instagram,8.2,1.3,3.21,1.8,medium,3
18,male,1.3,Instagram,5.8,1.3,3.35,1.9,medium,9
19,male,4.7,TikTok,8.2,1.8,2.26,1.0,low,7
15,male,1.9,TikTok,5.8,2.3,2.47,0.3,high,10
18,female,7.0,Both,6.3,1.6,2.55,0.5,medium,10
15,male,6.2,TikTok,6.3,1.7,2.26,1.1,high,9
14,male,3.2,TikTok,8.0,1.3,2.5,1.1,high,2
18,female,4.5,Both,7.9,1.4,2.38,0.1,high,7
14,female,1.1,Both,6.1,2.5,2.8,1.8,high,4
13,male,5.9,Instagram,8.0,2.8,3.21,1.6,medium,2
17,male,5.1,Both,5.0,2.2,3.58,1.2,high,6
15,male,1.6,Instagram,6.9,2.3,3.16,0.9,medium,3
15,female,7.2,TikTok,8.0,1.4,3.64,0.4,medium,10
17,female,1.4,Instagram,6.9,2.4,3.06,1.9,medium,4
17,female,6.6,Instagram,8.0,2.2,2.21,1.0,high,10
15,female,3.5,Instagram,6.3,0.8,2.71,1.8,high,7
17,female,5.4,Both,6.3,2.8,3.06,0.8,low,3
16,female,4.2,Both,7.3,1.1,3.1,1.6,medium,1
13,male,2.5,Instagram,8.3,1.6,2.91,0.6,high,10
16,female,3.8,TikTok,6.0,3.0,2.1,0.2,low,7
13,male,1.8,Instagram,8.9,1.2,3.67,0.1,medium,2
14,male,5.4,Instagram,5.6,1.8,3.01,0.9,low,10
14,female,7.7,Instagram,6.1,0.8,3.47,1.5,medium,9
18,female,4.1,Instagram,8.0,1.7,2.29,1.4,low,2
15,female,6.6,Both,4.9,3.0,2.99,0.9,medium,4
16,male,2.3,Both,4.1,0.8,3.18,1.7,medium,5
17,female,7.5,Instagram,5.9,2.9,3.71,1.7,low,3
18,male,7.1,Instagram,8.0,2.9,2.59,1.2,high,10
17,female,1.7,Both,6.3,1.5,2.66,1.8,low,1
13,male,7.9,Instagram,5.8,0.8,3.31,1.6,medium,3
16,female,4.0,Instagram,7.9,1.9,2.56,0.1,high,4
15,female,1.2,TikTok,8.1,2.0,3.33,1.5,medium,7
19,male,3.5,TikTok,8.4,1.7,2.46,0.1,high,6
17,male,1.1,Instagram,6.8,2.0,3.45,1.3,medium,7
19,female,1.6,TikTok,4.1,1.6,3.15,0.9,medium,2
16,female,2.5,TikTok,8.9,2.9,2.53,0.1,high,8
15,male,2.8,Instagram,7.2,1.8,2.91,0.2,low,5
15,male,2.2,Instagram,5.2,1.4,2.62,1.5,medium,10
16,male,4.8,Both,6.8,1.0,2.6,1.1,medium,1
18,female,3.7,Both,7.9,2.7,3.11,0.3,medium,6
16,male,5.5,Instagram,8.3,2.3,3.47,1.6,medium,4
16,male,2.5,Instagram,6.8,1.0,3.77,1.0,high,3
18,female,1.9,TikTok,5.8,1.7,3.52,0.2,low,6
13,male,5.9,Instagram,7.5,1.4,2.58,1.2,low,6
13,female,6.5,TikTok,8.3,0.6,3.05,0.3,high,2
15,male,7.5,Instagram,8.1,2.5,3.56,1.2,medium,6
19,male,4.9,TikTok,4.5,2.9,3.88,0.8,low,5
13,male,2.2,TikTok,5.3,1.4,3.97,0.0,low,1
14,male,5.8,Both,6.9,0.7,3.01,1.9,high,9
14,male,1.3,Instagram,8.5,0.9,3.71,0.7,high,3
19,female,2.8,TikTok,4.8,1.7,2.8,0.6,low,5
19,female,4.0,TikTok,6.5,2.4,3.67,0.6,low,4
14,female,1.7,TikTok,4.9,1.6,2.36,1.7,high,3
18,female,1.4,TikTok,6.1,1.6,2.56,1.2,high,2
19,male,2.3,TikTok,6.5,3.0,3.5,0.1,high,9
14,male,3.8,Instagram,5.3,1.0,2.28,1.2,low,9
13,male,6.4,TikTok,5.1,2.5,2.62,1.3,low,5
19,male,6.0,Both,7.1,0.9,2.98,0.1,low,1
16,male,1.9,Instagram,7.8,2.1,2.26,0.3,high,7
17,male,2.4,TikTok,8.5,2.4,2.79,1.1,low,1
14,female,2.7,Instagram,5.1,2.4,2.17,1.8,high,3
14,male,1.5,Both,7.2,1.7,2.76,0.0,low,10
18,male,7.7,Instagram,7.3,1.8,3.13,2.0,medium,7
13,male,2.9,TikTok,5.1,2.2,3.81,0.7,low,6
16,male,7.6,TikTok,4.3,2.7,2.51,0.3,medium,3
18,male,5.7,Both,8.4,2.4,2.84,0.7,low,5
19,male,1.2,TikTok,5.0,1.5,2.09,0.6,medium,5
16,female,2.4,Both,6.2,1.6,2.38,0.0,medium,8
17,female,6.2,Both,5.1,2.0,3.82,1.7,medium,7
14,female,4.7,Instagram,5.1,2.2,2.03,1.1,medium,2
19,male,5.3,Instagram,6.7,0.7,3.59,1.8,high,4
19,female,6.0,TikTok,6.0,0.7,3.29,1.4,low,4
16,female,7.8,TikTok,4.7,2.1,2.48,2.0,low,8
14,female,4.4,Both,4.2,2.6,2.28,1.3,medium,8
17,male,6.7,Instagram,7.6,2.4,3.59,0.4,medium,9
13,female,7.2,TikTok,7.4,2.2,3.42,0.1,low,8
18,male,6.1,Both,4.4,2.1,2.23,1.0,low,8
16,male,5.4,TikTok,8.7,1.9,2.67,1.3,low,1
19,male,2.7,Both,7.7,0.7,2.22,0.4,medium,10
13,female,7.9,Instagram,7.2,1.5,2.36,0.2,medium,2
13,male,4.6,TikTok,7.3,1.6,2.91,0.4,low,10
13,male,5.6,Instagram,4.6,1.9,2.54,0.1,low,5
17,female,6.5,TikTok,6.4,0.7,3.57,1.1,low,2
19,male,5.9,Both,7.2,0.9,3.99,1.7,low,7
19,female,1.1,TikTok,5.1,2.2,2.13,0.9,low,7
18,male,3.2,TikTok,5.1,1.2,3.54,1.3,low,6
14,male,6.5,Instagram,5.3,2.7,3.79,0.8,low,8
17,female,7.3,Instagram,6.2,1.0,2.02,0.2,low,1
17,male,1.5,TikTok,5.5,1.7,2.93,0.7,low,4
16,male,3.8,Instagram,6.8,2.4,3.1,1.6,low,6
13,female,3.6,TikTok,8.6,2.8,3.28,0.7,high,10
15,male,3.6,TikTok,4.3,2.9,2.2,1.0,high,10
17,female,5.3,Instagram,7.4,1.2,3.41,1.1,high,6
19,male,4.4,TikTok,4.3,0.8,2.44,1.0,high,9
18,male,7.7,TikTok,4.7,1.4,3.04,0.6,medium,9
14,female,7.1,TikTok,4.5,2.4,3.53,0.4,high,3
16,male,4.9,Instagram,6.8,1.0,3.18,1.9,high,7
19,male,4.6,Both,8.9,1.9,2.5,0.4,medium,8
19,male,1.8,Instagram,6.5,2.6,2.75,1.7,high,7
16,male,4.2,Both,5.7,1.0,2.77,0.1,high,10
16,male,1.5,TikTok,6.7,0.5,2.78,1.2,low,1
19,male,7.0,Instagram,8.9,2.8,2.84,0.4,high,6
14,female,6.5,Both,7.8,1.5,3.26,0.8,medium,9
19,female,4.3,Instagram,5.9,2.1,2.85,1.7,high,9
16,male,7.2,Both,7.7,2.5,2.56,1.7,high,8
13,male,7.0,Both,4.1,1.9,2.3,0.3,medium,3
18,female,3.8,Both,5.4,1.7,3.06,1.9,medium,5
17,female,3.0,Instagram,6.9,2.3,3.34,0.6,low,5
14,female,7.0,TikTok,7.8,1.1,3.81,1.4,medium,10
13,male,4.6,TikTok,5.3,2.3,2.42,0.2,low,5
16,male,3.4,Both,8.9,2.6,2.54,1.8,high,6
19,female,3.5,TikTok,6.7,2.7,3.4,1.2,low,4
14,female,4.4,Both,7.3,2.7,3.3,1.1,low,2
14,female,1.8,Both,8.2,2.2,3.36,1.7,high,9
17,male,3.9,Both,7.7,1.0,2.1,1.8,high,7
14,female,4.4,TikTok,5.7,1.0,3.2,1.9,high,4
13,female,2.0,Instagram,8.7,1.9,2.28,1.2,medium,7
17,male,7.2,TikTok,8.8,2.5,3.97,1.9,low,1
19,male,4.4,Both,6.4,0.9,2.72,0.2,medium,6
14,male,7.2,TikTok,4.8,1.4,2.36,0.1,low,5
13,male,5.4,Instagram,6.5,0.8,3.17,0.3,medium,10
16,male,1.5,TikTok,4.1,1.3,3.67,1.2,high,10
15,female,1.8,Instagram,8.0,2.8,3.49,0.6,low,9
17,female,3.7,TikTok,5.3,0.7,2.09,0.8,high,8
13,male,6.4,Both,8.3,1.3,2.21,1.2,high,4
19,male,6.4,Both,6.7,2.4,2.2,1.3,low,5
17,female,1.1,Instagram,9.0,2.9,2.74,1.0,medium,2
13,male,1.3,TikTok,7.8,2.6,3.01,0.3,low,2
17,female,4.4,Instagram,6.0,1.2,2.48,0.9,medium,6
13,male,7.8,Instagram,5.0,1.8,3.57,1.5,medium,8
14,female,6.9,TikTok,6.4,0.9,2.04,1.3,medium,5
14,female,4.8,Instagram,6.8,0.8,3.0,0.9,low,4
13,male,7.5,Instagram,8.6,1.9,3.33,0.9,medium,7
15,female,6.7,Instagram,7.0,2.2,2.61,0.7,high,2
14,male,3.8,Instagram,4.8,1.9,3.97,0.2,high,4
15,male,3.0,Instagram,8.6,1.5,3.27,0.8,medium,10
17,male,7.8,TikTok,7.1,0.8,2.79,1.4,medium,9
14,female,7.8,Instagram,4.3,2.6,3.33,2.0,high,3
15,female,6.6,TikTok,9.0,1.5,3.04,1.5,low,4
13,female,7.3,Instagram,6.4,2.3,2.53,0.7,low,9
19,male,6.6,Instagram,4.4,1.1,2.29,1.0,low,6
19,female,5.6,TikTok,8.1,3.0,2.75,0.7,medium,6
13,female,8.0,Instagram,5.4,2.8,3.1,1.9,high,6
13,female,1.3,Instagram,8.9,2.6,3.54,1.2,high,8
15,female,5.9,Both,6.9,1.4,3.62,1.5,medium,3
14,female,2.0,Instagram,8.8,0.9,3.61,0.7,high,10
19,female,1.4,Instagram,6.6,1.8,3.07,0.0,low,5
13,female,6.4,Both,6.7,0.8,3.9,1.9,high,3
15,male,7.6,TikTok,7.9,0.8,3.55,1.9,high,10
16,male,7.9,Both,5.5,0.6,3.65,1.4,low,1
15,male,5.1,Instagram,4.1,2.8,3.79,0.8,medium,9
18,male,6.4,TikTok,7.4,1.5,2.92,0.6,low,9
13,female,7.2,Both,6.7,0.9,2.36,0.6,low,8
18,female,2.9,Both,4.6,2.3,3.03,0.3,low,6
19,male,1.5,Instagram,7.3,2.7,2.61,0.9,low,5
14,male,5.4,Both,8.1,1.8,2.53,0.9,medium,5
13,male,7.2,TikTok,4.1,1.3,2.49,1.8,medium,5
15,female,7.0,Instagram,5.9,1.3,2.91,1.2,low,10
17,female,7.5,TikTok,6.7,1.1,3.77,0.6,high,3
14,male,1.4,Both,7.0,1.8,2.69,0.9,low,10
16,female,6.1,Instagram,8.1,1.4,3.27,1.6,low,10
16,female,1.4,Both,5.2,1.7,3.82,0.7,low,10
13,male,5.4,Instagram,4.1,2.0,3.82,1.9,medium,6
13,female,2.1,Instagram,8.2,0.9,2.48,0.5,high,2
14,male,5.0,Both,4.3,1.1,3.8,0.4,medium,9
13,female,4.4,Instagram,4.3,1.9,3.51,0.9,medium,8
13,male,3.4,Both,8.6,0.8,3.08,0.4,low,7
18,male,1.2,Instagram,6.4,1.3,3.03,1.0,low,5
14,male,5.5,TikTok,7.3,1.4,2.61,1.2,high,5
15,male,2.3,Both,7.8,3.0,2.3,1.4,medium,4
13,female,1.4,Both,7.4,0.5,2.32,1.3,low,3
13,female,3.0,Instagram,7.0,0.9,2.73,1.7,high,5
14,male,2.8,Instagram,5.0,2.5,3.92,1.8,high,1
14,male,7.0,TikTok,6.9,1.0,3.93,1.1,high,9
13,female,1.6,Both,8.4,1.4,3.47,0.1,medium,1
15,female,4.2,Instagram,8.4,1.2,2.61,0.0,medium,3
17,male,4.9,Instagram,8.6,3.0,3.62,1.2,low,6
14,female,3.6,Instagram,4.1,2.9,2.83,0.5,medium,10
19,male,1.8,TikTok,6.0,2.3,3.22,1.0,medium,5
17,female,2.7,Instagram,5.4,2.6,2.07,0.0,medium,6
15,female,1.2,Instagram,5.2,1.0,2.78,1.3,high,5
18,female,6.2,Both,6.7,1.4,3.42,0.9,low,6
18,male,1.6,TikTok,6.2,1.9,2.05,0.3,low,8
18,female,5.1,TikTok,7.4,1.3,3.5,1.6,high,1
13,female,5.2,TikTok,8.2,2.8,2.12,1.4,medium,1
14,male,4.1,TikTok,5.1,2.0,3.51,0.7,high,2
19,female,5.4,TikTok,4.4,2.3,3.34,0.4,high,3
13,male,2.4,TikTok,8.4,1.6,2.82,1.1,low,1
18,male,1.7,Both,5.6,1.4,2.85,1.0,high,3
18,male,6.0,Both,6.1,0.9,2.68,0.3,medium,2
17,male,7.2,Both,6.1,0.8,3.9,0.2,low,8
18,male,3.5,TikTok,6.3,2.9,3.35,1.6,high,1
15,female,3.8,Instagram,4.4,1.9,2.04,0.5,medium,4
18,female,4.5,Both,8.0,1.5,3.45,1.0,low,4
16,female,7.3,Both,7.2,0.5,2.78,1.9,low,7
18,female,6.4,Instagram,7.7,0.5,3.05,1.2,low,3
16,male,5.3,TikTok,8.4,2.2,2.81,0.6,high,2
13,male,2.4,Instagram,7.1,0.7,3.64,1.1,high,6
13,male,8.0,Both,8.9,2.2,3.82,1.2,low,8
15,male,7.3,Both,4.4,2.3,2.76,1.8,medium,4
17,female,4.5,Both,7.3,0.9,2.34,0.9,medium,7
19,male,5.0,Both,9.0,2.4,2.53,0.4,medium,7
16,female,5.7,Both,4.2,1.4,2.56,0.1,high,4
18,female,2.9,Instagram,8.4,2.6,2.57,1.8,medium,4
13,male,7.9,Instagram,8.8,2.3,3.39,0.5,low,1
19,male,4.8,TikTok,5.0,2.6,3.25,1.6,low,4
13,female,3.0,Both,6.0,1.0,2.63,0.1,low,5
14,female,4.1,Both,6.4,2.0,3.69,1.5,medium,7
19,male,6.9,Instagram,5.0,1.2,2.56,1.6,high,3
17,female,3.2,Instagram,6.2,2.2,2.96,1.6,low,8
18,female,1.3,Both,4.9,0.9,3.86,0.0,medium,4
15,female,4.2,TikTok,6.8,1.1,3.37,0.7,high,3
19,male,6.6,Both,6.0,2.1,2.84,1.5,low,9
13,male,7.5,TikTok,4.8,0.7,2.91,2.0,high,10
15,male,7.0,Both,8.7,3.0,2.84,1.4,medium,5
15,female,6.7,Both,5.0,0.6,2.75,1.5,medium,7
15,female,2.3,Instagram,5.6,2.9,2.72,1.0,high,6
14,male,5.3,Both,9.0,2.8,3.1,1.6,high,10
13,female,2.7,TikTok,6.5,1.5,2.58,0.4,high,1
13,male,5.4,Instagram,7.8,1.8,3.46,1.0,high,4
17,male,7.2,Instagram,8.0,1.9,2.66,1.4,medium,5
19,male,1.5,TikTok,6.8,2.5,2.13,0.2,medium,9
13,male,4.0,Both,4.2,0.5,2.46,0.6,low,2
15,female,4.2,Both,7.1,2.1,2.21,1.8,medium,4
19,male,1.8,TikTok,7.7,2.2,3.77,0.3,medium,4
