age,gender,daily_social_media_hours,platform_usage,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level
17,female,3.3,Instagram,8.6,1.1,2.62,0.4,low,4
14,female,1.0,Both,6.6,1.4,2.02,1.9,low,6
13,female,1.2,TikTok,8.0,2.8,2.18,1.1,high,5
19,male,2.0,Instagram,4.1,1.3,3.71,1.6,low,7
13,female,7.1,Both,6.5,1.6,2.03,0.3,medium,1
15,female,5.5,TikTok,7.8,1.5,2.79,0.7,high,9
17,male,7.7,TikTok,4.7,2.8,3.5,1.5,low,8
17,female,7.6,Instagram,5.9,2.0,2.52,1.5,medium,1
13,male,8.0,Instagram,6.9,2.5,2.45,1.7,medium,10
16,female,4.3,Instagram,6.0,1.4,2.98,1.7,low,8
13,male,3.8,Both,5.3,2.5,3.48,1.0,low,6
16,female,2.9,TikTok,6.3,3.0,2.6,0.4,medium,9
13,female,5.3,TikTok,6.5,1.1,3.48,1.8,low,9
15,female,5.7,Instagram,7.5,2.4,2.84,1.3,medium,10
18,female,2.8,Instagram,7.4,1.0,3.73,1.9,low,7
15,male,2.8,TikTok,6.1,2.9,2.98,1.8,medium,6
13,female,1.1,Instagram,7.0,1.9,4.0,0.9,medium,2
14,female,2.0,Both,5.0,2.6,2.71,2.0,low,5
16,female,6.5,TikTok,5.3,1.8,2.29,0.2,high,4
16,female,7.5,TikTok,7.8,1.3,2.73,1.5,medium,4
16,female,3.1,Instagram,7.9,1.2,2.85,0.7,high,2
19,male,5.9,Both,7.0,2.3,3.0,1.6,low,3
15,male,7.9,TikTok,4.1,0.7,2.33,1.2,medium,3
15,male,5.1,Instagram,7.4,0.7,2.64,0.2,medium,5
16,male,1.9,Both,5.8,2.1,2.27,0.6,medium,3
17,male,8.0,Instagram,8.7,1.5,3.7,2.0,high,10
19,male,2.9,Both,4.0,0.5,3.16,0.2,high,7
14,male,4.3,Instagram,8.4,0.9,3.2,1.6,high,10
16,male,1.1,Instagram,6.4,3.0,2.51,0.1,medium,8
16,male,4.9,Instagram,5.7,1.2,2.07,0.1,medium,8
14,male,6.1,Both,7.6,1.4,2.72,0.9,low,9
15,female,2.7,Both,6.5,1.6,2.14,0.4,high,6
16,female,7.8,Both,7.4,0.7,2.54,1.2,medium,10
18,male,4.2,TikTok,6.5,1.4,2.91,1.5,low,5
13,female,4.4,Instagram,5.5,2.7,3.17,0.3,low,5
13,female,1.4,Both,7.8,0.6,3.42,1.6,medium,10
17,male,3.7,TikTok,7.2,0.6,3.34,1.8,high,2
14,male,3.8,Instagram,8.9,1.9,2.77,0.2,medium,6
15,female,5.4,TikTok,7.0,1.8,2.54,0.1,low,1
17,male,4.0,Both,4.3,1.8,2.17,0.9,high,8
19,male,3.5,TikTok,5.8,1.8,3.3,0.9,low,7
17,male,1.3,Both,8.3,1.0,3.95,1.2,medium,4
14,male,5.6,Instagram,8.8,0.9,3.03,2.0,low,8
13,female,2.4,Instagram,5.5,0.6,3.56,1.6,medium,4
16,male,2.0,Both,7.8,2.8,2.1,0.6,medium,2
15,male,6.6,Instagram,8.6,1.5,2.63,1.1,low,1
17,female,2.3,TikTok,6.4,2.4,3.61,0.6,medium,2
16,male,6.4,TikTok,5.4,1.4,2.42,1.9,medium,4
18,female,3.5,Both,5.9,1.3,3.68,2.0,medium,7
18,female,1.7,Instagram,8.5,1.0,3.32,1.3,medium,1
14,male,4.1,Instagram,8.2,1.7,2.32,1.4,high,9
14,male,3.3,Instagram,6.5,0.8,2.54,0.8,low,1
14,female,5.0,TikTok,4.9,2.6,3.82,1.9,medium,3
19,female,1.5,Instagram,8.4,3.0,2.46,1.5,high,1
17,female,3.3,TikTok,8.4,2.1,3.4,0.2,high,1
13,male,6.4,Both,4.1,1.3,2.77,1.3,low,10
17,female,8.0,Instagram,8.1,1.2,2.13,1.0,low,1
16,female,1.0,Both,4.1,1.3,2.22,0.4,low,2
18,female,4.2,Instagram,5.4,1.1,2.31,0.3,low,4
18,female,4.6,TikTok,7.3,2.8,3.22,0.6,high,1
17,female,2.8,Both,6.2,2.4,2.58,0.4,high,4
16,female,6.3,Instagram,6.9,1.3,2.15,1.4,low,9
17,female,7.2,TikTok,7.0,1.3,3.86,0.9,low,7
13,male,4.5,Both,6.7,2.2,3.73,0.3,low,3
18,male,5.3,Both,5.1,1.2,3.32,1.8,low,7
13,male,5.2,TikTok,6.7,2.5,3.82,0.9,medium,8
13,male,7.9,TikTok,6.0,2.7,2.85,0.3,low,9
19,male,6.9,TikTok,8.5,1.5,3.55,1.3,low,5
17,female,5.8,Instagram,4.1,2.9,2.33,0.4,high,9
19,male,7.0,Instagram,8.3,2.1,3.09,1.5,low,9
14,female,3.0,TikTok,8.3,2.7,3.9,0.7,high,3
18,male,6.3,Both,7.9,1.7,2.85,0.3,medium,1
17,female,5.5,Instagram,4.9,2.6,3.64,0.8,medium,6
17,female,2.2,Both,7.5,2.2,2.95,1.6,low,9
14,male,1.4,Both,4.5,1.4,3.17,1.7,high,9
18,male,4.5,Instagram,4.4,1.9,2.26,0.0,low,7
14,female,6.1,Instagram,5.7,2.0,3.9,1.0,low,8
17,male,3.3,TikTok,5.7,2.0,3.71,0.1,low,6
15,male,5.2,Both,5.6,1.1,2.88,0.1,medium,4
18,male,5.0,Both,5.8,1.3,2.12,0.1,low,1
17,female,1.8,TikTok,5.9,1.9,2.89,0.6,low,8
13,male,2.3,TikTok,4.5,0.7,2.71,0.2,low,6
14,male,2.7,Both,6.3,0.6,3.88,0.3,medium,6
16,male,7.4,TikTok,7.5,1.7,3.16,1.8,medium,2
15,male,6.2,TikTok,4.6,1.1,2.94,1.8,high,4
16,male,2.3,TikTok,8.8,1.0,2.51,2.0,medium,6
18,male,1.8,TikTok,5.2,1.4,2.68,0.1,high,6
16,female,1.3,Instagram,4.9,2.6,2.89,0.2,low,2
15,male,2.1,Instagram,4.4,2.1,3.43,1.9,low,6
14,male,3.9,Instagram,7.7,1.4,2.86,1.7,high,3
18,female,3.8,Both,4.5,1.3,3.06,0.3,medium,7
15,male,6.4,Instagram,7.8,0.7,2.6,0.7,high,4
19,male,3.2,Instagram,6.2,2.6,3.72,1.9,high,9
13,male,4.4,Both,8.2,1.5,3.98,1.4,high,9
15,male,1.3,TikTok,7.5,1.3,2.99,1.4,low,1
18,female,5.7,TikTok,6.2,0.5,3.98,1.7,medium,7
13,male,4.0,TikTok,5.0,2.9,3.84,0.1,low,7
16,female,4.8,Instagram,6.7,1.4,2.44,0.3,low,1
19,male,5.8,Both,7.5,1.9,2.08,0.1,high,2
16,male,5.8,Both,8.9,1.1,2.08,1.9,medium,8
13,male,3.2,TikTok,5.1,1.6,2.87,1.8,medium,4
16,female,5.2,Both,4.0,2.4,2.35,1.6,low,10
17,male,2.4,TikTok,6.0,0.7,3.67,1.5,low,7
15,male,7.4,Both,5.9,2.6,2.89,1.9,medium,7
18,female,7.1,Instagram,4.8,2.1,2.51,0.9,high,1
16,male,6.5,TikTok,7.4,1.9,2.22,1.1,medium,10
13,male,7.4,Both,7.0,1.8,2.17,1.4,medium,9
15,female,3.9,Instagram,6.4,1.7,2.87,1.8,high,6
15,female,4.6,Both,8.6,2.0,3.01,0.0,low,1
19,male,1.5,TikTok,6.7,1.0,3.9,0.4,low,4
15,female,5.8,Instagram,7.1,1.1,3.72,1.5,low,9
17,female,6.4,TikTok,4.9,2.1,2.78,1.0,high,2
16,female,2.1,TikTok,8.2,2.4,3.25,0.1,high,1
17,female,2.2,TikTok,6.5,3.0,2.49,0.2,medium,5
14,male,5.5,TikTok,7.4,2.9,3.54,1.1,high,8
17,female,6.6,Both,7.4,2.2,2.63,0.6,high,7
19,female,5.2,Instagram,6.6,1.6,2.36,1.4,low,2
17,male,4.7,TikTok,5.1,2.0,2.35,1.8,low,8
19,female,7.1,Both,6.3,2.2,3.88,0.8,high,10
19,female,4.2,Both,8.1,1.4,2.66,1.9,low,9
17,female,1.3,Instagram,5.1,2.2,3.44,0.6,high,7
18,male,2.6,Both,7.8,1.9,3.15,0.4,medium,8
15,male,6.2,Instagram,8.1,2.3,3.46,1.3,low,5
14,female,6.2,TikTok,5.1,1.5,3.85,0.2,high,3
18,male,4.8,TikTok,8.5,2.8,3.77,1.3,low,5
18,female,3.0,Both,4.6,2.0,2.24,1.5,medium,10
16,male,4.7,Instagram,8.2,2.7,3.04,0.3,high,1
18,female,4.4,Both,5.1,1.4,2.33,0.6,low,2
14,female,2.3,TikTok,7.3,2.3,2.8,1.5,medium,4
14,female,3.1,Instagram,6.9,1.9,2.2,1.2,medium,3
18,male,2.9,TikTok,7.5,0.6,2.25,1.0,high,4
13,male,1.8,Instagram,4.4,0.6,3.48,1.7,medium,3
15,female,2.0,Instagram,4.7,1.3,3.55,1.3,low,2
13,female,4.2,Instagram,7.9,2.7,3.76,0.1,medium,10
17,female,6.7,Both,7.9,1.4,3.91,0.4,high,3
17,female,2.2,Both,7.2,0.5,2.38,1.2,medium,10
17,female,1.1,TikTok,6.8,0.6,2.28,1.6,medium,9
16,female,6.4,TikTok,5.9,2.8,3.81,1.3,high,1
19,female,2.8,Instagram,5.9,1.5,2.85,0.6,high,10
13,male,2.2,Both,5.8,2.0,3.63,1.9,low,4
19,male,5.7,Instagram,4.8,2.2,3.66,0.9,low,3
15,male,5.3,Both,7.3,1.9,2.51,1.4,high,10
14,male,3.1,TikTok,8.8,1.5,3.91,0.6,medium,4
16,male,1.7,TikTok,4.9,0.6,3.38,1.1,medium,10
19,female,6.7,Instagram,7.3,2.8,2.26,1.4,high,7
13,female,7.8,Instagram,7.4,1.7,2.76,1.1,low,10
18,female,2.1,Both,6.7,0.9,3.73,0.7,low,3
17,female,5.1,TikTok,8.6,1.9,3.33,1.1,low,1
18,female,3.6,Instagram,5.4,0.9,3.45,0.5,medium,1
18,male,5.0,Both,7.6,2.0,3.94,0.5,low,4
17,male,1.7,Both,8.6,0.9,2.36,1.7,low,9
17,male,6.8,Instagram,4.7,0.6,3.4,0.9,low,3
14,male,3.8,Both,7.5,0.5,2.18,1.0,medium,5
16,male,2.1,Instagram,7.7,1.1,2.27,1.1,medium,3
15,female,3.2,Instagram,4.0,2.0,3.25,0.7,low,8
18,male,1.9,Instagram,5.6,2.3,2.8,1.9,medium,8
13,female,3.5,Instagram,6.8,1.5,2.35,1.8,medium,7
15,female,4.5,Instagram,7.7,0.9,2.61,1.1,medium,9
13,female,6.0,TikTok,5.0,2.5,2.55,1.8,high,4
13,female,3.6,TikTok,4.8,2.2,3.58,1.2,medium,4
19,male,5.2,TikTok,6.9,2.3,2.09,0.2,high,6
13,male,2.7,Both,6.9,1.4,2.87,1.5,low,2
16,female,2.8,TikTok,7.1,1.4,3.85,0.4,high,7
14,male,5.6,Instagram,7.0,1.9,2.58,0.4,low,5
16,male,2.7,Both,7.2,0.6,3.98,1.7,low,6
14,male,4.2,Both,7.0,1.1,2.12,0.9,high,4
18,female,5.1,TikTok,8.2,2.8,2.18,0.5,high,8
15,female,5.7,Instagram,6.1,0.7,3.08,0.6,medium,5
13,female,1.5,Both,7.9,1.8,2.85,1.1,medium,5
15,female,6.9,TikTok,8.3,2.4,3.34,1.2,high,2
14,male,4.7,TikTok,7.9,2.9,2.54,0.7,high,5
15,female,2.7,Both,8.5,0.8,2.91,1.3,low,6
13,female,6.1,Both,6.4,2.8,2.51,1.9,low,6
17,female,5.0,TikTok,7.3,1.9,3.83,0.4,high,8
17,female,5.3,Both,6.8,1.9,3.39,1.6,low,10
19,male,7.2,TikTok,6.6,2.9,2.74,0.3,medium,1
15,male,2.3,Both,5.7,2.8,2.79,1.9,medium,4
17,female,7.3,Both,7.8,1.1,2.03,1.1,low,3
16,female,1.5,Instagram,8.0,0.7,2.18,0.6,medium,4
18,female,2.2,Instagram,6.5,1.9,3.79,0.2,low,1
13,female,5.5,Both,6.7,1.6,3.09,1.7,high,10
19,male,2.1,TikTok,5.2,2.5,3.1,0.3,low,9
15,female,4.5,Both,5.4,1.2,3.76,1.7,high,1
13,male,3.9,Both,5.8,0.7,2.77,1.3,medium,10
14,male,5.8,Instagram,5.1,2.6,2.06,1.5,medium,7
13,female,7.2,Both,4.2,2.5,2.65,1.6,low,10
17,female,2.9,Both,7.5,1.4,3.42,1.7,low,5
17,male,6.2,Instagram,7.4,0.6,3.38,1.5,low,4
18,female,1.1,Both,4.9,2.6,2.43,1.3,high,9
19,male,5.2,Instagram,4.3,1.3,2.29,1.3,medium,10
15,female,5.0,Instagram,7.6,1.8,2.52,1.4,high,1
13,female,2.3,TikTok,8.7,1.2,3.25,1.5,high,9
15,female,5.2,TikTok,5.6,1.5,3.13,0.1,low,7
13,female,3.5,Both,8.7,1.4,3.5,1.3,high,9
16,female,3.5,Both,4.2,1.5,3.98,0.4,medium,1
19,male,7.7,Instagram,4.2,2.6,2.2,1.8,low,8
18,female,2.0,Both,8.6,2.2,3.53,1.9,low,2
13,female,5.1,TikTok,4.5,2.7,2.54,1.4,high,2
16,male,2.0,Instagram,7.9,2.4,2.81,1.9,low,10
15,male,4.7,Instagram,8.4,1.9,3.9,1.0,high,4
17,female,6.9,TikTok,6.1,2.4,3.77,1.1,medium,9
18,male,5.9,Instagram,4.4,2.7,2.09,1.8,high,1
19,male,2.7,Instagram,6.3,1.3,3.91,1.2,high,7
16,male,7.9,TikTok,8.0,1.6,3.47,1.5,high,3
16,female,7.4,TikTok,5.5,1.8,2.13,0.3,high,7
17,female,2.3,Instagram,4.9,1.7,2.07,0.3,medium,3
13,male,7.1,Both,5.7,2.1,3.52,1.7,low,1
16,male,6.9,Instagram,6.8,1.1,3.33,1.0,medium,7
16,female,5.6,TikTok,7.9,2.0,3.91,0.6,medium,7
16,female,5.2,TikTok,8.1,2.1,2.67,1.7,medium,9
17,male,4.5,Both,4.9,0.5,3.44,1.2,medium,5
14,male,3.6,TikTok,4.0,1.4,3.83,0.5,medium,1
19,male,7.2,Instagram,5.0,2.2,2.5,0.7,high,6
17,male,6.4,TikTok,8.6,2.3,2.57,1.3,low,9
15,male,7.1,Both,6.5,0.7,3.94,0.2,medium,4
18,male,1.2,Both,4.1,1.1,3.04,1.6,low,1
19,male,6.6,TikTok,8.8,0.9,3.84,0.3,high,10
19,female,6.5,TikTok,6.4,1.1,3.71,1.2,low,8
16,male,2.0,TikTok,4.4,0.7,2.68,0.8,medium,1
13,male,2.5,Instagram,5.3,0.8,3.12,0.4,high,3
19,male,2.1,Instagram,8.8,2.3,2.22,1.2,high,5
16,female,7.1,TikTok,8.8,1.8,3.99,0.8,low,6
19,female,6.8,Both,4.4,2.1,3.69,0.4,high,3
13,male,5.2,Both,5.4,0.8,2.39,2.0,low,8
19,male,7.0,TikTok,4.5,2.3,3.26,1.7,high,9
19,male,6.8,TikTok,8.4,2.0,2.6,1.5,low,7
16,female,3.8,TikTok,5.3,1.5,2.04,1.5,high,5
14,male,2.9,Instagram,7.2,2.0,3.96,1.5,medium,9
16,male,3.6,Instagram,6.6,0.7,2.25,1.9,low,4
13,male,4.0,Both,8.3,0.6,3.71,0.1,low,2
17,female,7.5,Both,4.7,2.1,2.55,0.1,high,3
16,female,6.0,Both,8.7,1.5,3.76,0.1,medium,2
16,female,3.6,Instagram,6.1,2.8,3.8,0.1,high,2
19,male,4.7,Both,8.2,1.2,2.83,1.2,high,5
13,male,2.0,Instagram,6.6,0.9,3.34,1.5,high,5
13,male,7.8,TikTok,7.2,1.3,3.31,0.8,high,9
19,male,5.9,TikTok,7.4,0.7,3.27,1.7,high,1
19,male,7.7,TikTok,8.4,2.8,3.43,0.2,medium,7
13,male,2.2,TikTok,5.4,1.2,2.33,0.8,medium,10
18,female,7.7,TikTok,7.6,2.9,3.81,0.5,high,10
18,male,3.2,Instagram,6.0,1.5,3.36,1.5,high,9
16,male,2.0,TikTok,7.8,0.5,2.81,1.4,high,10
15,female,6.2,Both,5.2,1.0,3.94,1.4,low,5
19,female,2.4,Instagram,8.7,1.6,2.4,0.1,medium,2
15,male,3.4,Both,8.0,1.0,2.31,1.0,high,4
19,male,6.0,Instagram,4.2,0.9,2.41,0.8,medium,7
16,female,5.3,Both,5.6,2.5,2.73,1.3,medium,7
17,female,5.5,Instagram,6.3,0.8,2.59,1.6,high,6
17,male,3.6,Both,6.1,2.8,2.39,0.6,low,6
17,female,3.7,Instagram,6.3,1.3,2.7,1.1,medium,2
16,female,7.4,Instagram,7.4,0.9,3.7,1.3,medium,10
13,male,5.3,Instagram,6.0,1.0,2.92,0.7,high,3
18,female,4.8,Instagram,5.5,1.8,2.9,0.6,low,6
13,male,3.4,TikTok,4.5,0.5,3.71,1.0,medium,1
17,female,7.0,TikTok,8.9,0.6,3.67,0.2,medium,9
15,male,5.4,Instagram,7.2,1.2,3.32,1.3,high,7
17,male,5.3,Instagram,6.4,2.9,2.42,1.1,low,3
14,male,1.8,Both,5.1,2.7,3.47,0.2,low,8
15,male,4.5,TikTok,6.2,2.8,2.74,0.1,high,2
17,female,5.4,TikTok,7.1,2.5,2.68,1.6,low,3
13,male,3.6,Instagram,8.6,0.7,2.42,0.2,medium,2
14,female,5.7,Instagram,8.9,0.7,2.17,1.3,high,10
15,female,5.5,Both,7.3,2.5,3.67,0.5,low,4
14,female,5.3,Both,4.7,1.1,3.68,1.8,high,10
15,male,2.7,Instagram,5.4,1.6,2.34,0.3,high,2
14,male,6.4,Instagram,5.6,0.8,4.0,1.9,medium,5
16,male,5.0,TikTok,6.3,3.0,3.72,1.6,medium,5
13,female,2.5,Instagram,4.6,1.6,3.22,0.9,medium,6
18,male,2.2,Both,4.5,2.0,2.49,0.8,high,1
16,male,4.1,Both,5.5,1.9,2.65,1.5,low,5
16,female,2.8,TikTok,7.4,2.0,3.4,1.6,low,4
17,female,1.1,TikTok,8.2,2.7,2.84,0.2,high,2
13,male,7.0,Both,5.7,1.6,3.45,1.2,medium,7
18,male,2.6,TikTok,7.9,2.3,2.43,0.1,high,5
13,female,2.6,TikTok,6.1,1.4,2.11,0.4,high,7
14,male,3.4,Instagram,4.6,2.0,2.27,1.9,high,7
14,male,7.9,Instagram,5.7,1.6,3.67,0.6,medium,4
13,male,5.1,TikTok,5.3,2.6,2.95,1.2,medium,2
13,female,2.8,Both,6.4,1.4,2.38,1.4,medium,4
19,female,3.4,TikTok,4.3,0.7,2.17,0.7,high,3
18,male,6.3,Both,6.9,1.0,3.22,0.8,medium,4
17,female,1.1,TikTok,4.6,2.5,3.93,0.3,high,10
19,male,3.8,Instagram,7.1,2.5,3.81,0.9,low,6
13,male,2.1,Instagram,4.1,1.6,2.12,1.8,high,10
17,female,6.2,Both,6.1,2.4,3.05,1.8,high,3
19,male,6.8,Instagram,8.4,2.1,3.15,2.0,medium,4
14,male,5.2,Instagram,5.5,1.6,3.08,0.5,medium,3
15,male,3.7,Both,4.0,0.9,3.0,1.4,medium,1
19,male,2.4,Both,7.5,1.8,2.35,1.4,low,3
13,male,2.1,TikTok,5.8,2.7,3.83,1.9,low,4
17,female,2.6,TikTok,4.2,0.7,3.02,1.6,low,7
19,male,6.5,Instagram,6.0,1.5,2.12,1.7,medium,8
16,female,3.4,Instagram,5.3,1.8,3.33,0.3,low,9
16,male,1.7,Both,4.3,1.4,3.27,1.2,medium,10
13,male,5.6,Both,4.4,2.9,3.19,0.9,medium,6
15,female,8.0,Both,5.7,1.3,3.54,0.1,high,9
15,female,5.7,Instagram,8.4,1.3,2.48,0.9,high,5
16,female,4.0,TikTok,5.4,2.7,2.88,1.2,medium,4
13,female,3.5,Instagram,5.3,1.7,2.2,0.8,high,6
15,female,4.2,TikTok,5.5,1.3,3.49,0.5,low,2
19,female,3.9,TikTok,7.4,2.5,3.74,0.3,medium,5
17,female,6.7,Instagram,4.3,0.6,3.76,0.0,low,2
15,male,6.7,Both,4.3,1.8,3.69,0.7,high,2
14,female,3.4,Instagram,5.6,1.7,3.38,0.3,high,9
16,male,5.0,TikTok,4.3,0.7,3.68,1.2,low,6
18,female,3.8,Instagram,5.9,1.0,2.22,0.6,low,9
15,female,7.3,TikTok,7.3,2.8,2.46,0.3,low,2
18,female,7.2,TikTok,5.0,1.4,3.65,1.1,low,8
15,female,3.1,Both,4.2,2.1,3.21,1.1,medium,8
15,female,8.0,Instagram,4.4,0.7,2.62,1.6,high,6
15,male,4.3,Instagram,7.5,1.1,2.06,1.8,medium,5
14,female,4.0,TikTok,5.1,1.1,3.98,1.3,medium,5
15,male,6.9,TikTok,5.6,1.4,2.09,0.7,low,9
13,male,7.0,TikTok,4.4,0.9,3.67,0.4,low,5
13,male,6.2,Instagram,8.6,1.8,2.19,0.7,high,8
15,male,7.7,Instagram,8.0,1.3,3.78,1.1,medium,1
19,female,5.1,Both,6.3,2.3,2.55,2.0,medium,6
15,male,1.0,TikTok,8.5,2.0,3.77,1.9,high,4
15,female,1.1,Instagram,4.6,1.8,2.35,1.1,medium,10
13,female,7.0,Instagram,4.9,1.2,3.61,0.2,medium,2
15,female,2.7,Both,7.8,1.8,3.9,1.4,low,5
18,male,2.5,Instagram,4.2,1.4,3.9,0.7,high,5
18,female,2.3,TikTok,4.3,0.9,3.27,0.1,high,5
17,female,2.7,TikTok,6.6,1.6,3.36,1.6,high,3
14,male,3.2,Instagram,5.4,2.6,3.18,0.9,low,9
18,female,3.8,Both,5.3,2.3,3.42,0.4,low,4
14,female,4.1,TikTok,5.4,2.4,2.71,1.3,low,9
13,female,2.3,TikTok,6.6,1.4,3.74,1.5,medium,6
15,male,8.0,Instagram,4.7,0.6,3.01,1.8,medium,2
15,female,2.9,TikTok,6.4,0.7,3.41,1.6,low,3
19,female,4.4,Both,5.0,2.8,2.69,0.4,high,3
18,female,3.1,Both,6.8,2.0,3.77,1.4,low,1
18,male,7.9,TikTok,7.5,2.0,2.77,0.9,low,10
14,female,1.2,Both,7.0,2.2,3.83,0.8,low,6
19,female,4.0,Both,7.4,2.7,3.41,1.4,medium,9
18,male,1.0,Instagram,7.1,0.8,2.47,1.9,high,4
19,female,7.9,Instagram,5.7,2.4,3.59,1.9,high,1
14,male,6.2,TikTok,4.4,0.7,3.45,0.5,medium,9
16,female,2.5,Instagram,5.4,2.3,3.43,0.5,high,9
16,male,4.7,Both,8.2,2.6,3.05,1.0,medium,4
16,male,6.3,Instagram,6.5,1.0,2.52,0.4,low,1
17,female,7.5,TikTok,5.4,2.3,3.44,0.4,medium,7
18,male,2.0,TikTok,8.4,1.5,2.83,1.2,low,9
13,female,6.3,Instagram,8.4,1.6,2.03,1.5,medium,5
16,male,6.6,Both,8.9,2.0,3.44,1.7,low,10
19,female,3.6,Both,5.6,1.7,3.57,1.5,low,10
16,female,3.2,Both,4.6,2.5,2.62,1.8,low,9
13,female,3.1,Instagram,6.4,1.6,3.69,0.9,medium,1
18,male,6.7,Instagram,8.8,1.9,2.55,1.0,low,5
17,male,6.6,TikTok,8.2,0.7,2.88,0.8,low,1
14,female,7.0,Instagram,4.5,1.6,2.83,0.4,medium,8
16,female,4.8,Both,5.1,2.1,2.49,1.6,low,4
13,female,5.8,Instagram,6.3,1.1,3.09,0.9,medium,8
19,female,6.0,Both,6.3,2.8,3.98,2.0,medium,2
15,male,4.0,Both,5.2,1.8,3.3,0.7,medium,10
14,female,5.8,Both,4.8,2.6,2.08,0.8,medium,6
19,male,5.2,Instagram,7.6,1.3,3.89,1.5,high,4
17,male,2.9,Both,6.7,1.5,3.62,0.8,medium,10
18,female,7.5,TikTok,7.5,1.4,3.14,2.0,low,2
13,female,5.8,Instagram,6.1,1.2,3.81,1.8,medium,6
14,male,7.6,Instagram,5.8,1.9,3.49,1.7,high,10
15,female,1.3,TikTok,7.6,0.6,3.46,1.9,low,1
15,male,3.7,Both,5.7,1.3,3.24,0.2,low,4
18,male,3.6,Instagram,4.7,2.5,2.73,1.2,medium,9
15,male,6.4,TikTok,6.9,2.9,2.48,0.9,low,8
13,male,6.0,TikTok,4.8,2.6,2.74,1.6,high,6
14,female,1.3,TikTok,7.7,1.9,2.27,1.5,low,7
18,male,3.7,Instagram,7.0,1.4,2.05,0.4,medium,10
18,female,8.0,TikTok,4.3,0.8,3.44,0.8,medium,3
19,female,4.1,Both,7.5,2.7,2.66,1.6,high,5
13,male,3.9,Both,8.7,1.5,2.71,0.7,low,7
15,female,6.4,Instagram,5.9,1.6,3.97,1.0,high,10
19,female,1.3,TikTok,6.5,2.1,3.68,1.1,high,7
18,female,5.0,Instagram,6.6,1.8,3.87,1.2,high,3
18,male,5.5,Both,5.2,1.4,3.24,0.9,medium,10
13,female,7.6,Instagram,7.9,3.0,2.54,1.2,high,8
19,female,6.3,Both,5.7,2.3,2.16,1.9,high,6
18,female,2.0,Instagram,5.9,2.9,3.52,1.1,high,8
15,male,4.0,TikTok,4.5,1.9,3.22,0.2,medium,4
14,male,4.9,Instagram,5.5,1.6,2.85,0.4,low,8
14,female,6.9,TikTok,8.0,1.6,2.64,0.1,medium,3
15,male,5.4,TikTok,4.2,1.8,2.15,0.3,medium,1
13,female,3.8,Both,8.9,2.5,2.29,0.6,high,9
15,male,7.8,Both,6.8,0.6,3.2,1.7,medium,1
15,male,3.5,Both,8.8,1.8,3.5,0.8,low,3
19,female,5.4,Instagram,7.3,2.0,3.98,0.9,medium,6
17,male,3.8,Both,5.7,2.0,3.01,1.0,low,1
17,male,8.0,Instagram,6.9,2.2,2.36,1.6,low,4
14,female,3.7,TikTok,5.7,1.7,2.88,0.2,low,9
19,female,5.0,Instagram,6.3,2.9,2.04,0.5,medium,5
19,female,4.2,Instagram,7.1,2.5,3.91,1.5,high,6
16,male,4.6,Instagram,8.2,1.5,2.13,1.0,low,3
18,male,5.5,Instagram,5.0,0.9,2.93,1.1,low,4
19,female,1.8,Instagram,4.5,2.8,3.22,1.6,medium,5
14,female,6.6,TikTok,6.2,1.8,2.36,1.7,high,4
15,female,4.4,TikTok,5.3,0.9,3.75,0.5,high,10
14,female,4.7,TikTok,4.4,2.1,3.92,0.9,low,10
18,female,7.1,Instagram,5.7,0.6,2.9,1.7,medium,3
17,male,4.0,Both,8.5,1.0,2.16,0.1,low,1
18,female,5.5,Instagram,5.3,2.6,3.09,2.0,low,8
